district_ID,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25
12,28054,23489,3984,55361,8715,11786,6640,22327,0,0,117777,0,20833,10375,29050,45733,40504,0,87233,196959,0,7470,3486,140851,17928
43,1411,1079,2739,3154,249,83,2324,415,0,0,3652,0,996,11952,1743,5478,249,0,11371,2407,498,83,83,332,830
13,2075,3154,4731,6225,581,332,2573,1826,0,0,8632,0,2407,498,5893,8632,2490,0,22576,18509,83,1909,166,7885,3071
17,1743,2407,2822,5146,581,1328,1494,2158,0,0,11122,0,1494,498,4565,6059,1826,0,33615,31291,83,6806,166,2988,3652
44,498,996,3569,1660,83,166,2158,830,0,0,913,0,747,498,2075,4980,166,0,11537,3071,166,498,166,1743,1079
39,1577,1743,2739,3320,83,498,1909,1577,0,0,5478,0,1328,581,2573,2656,1245,0,10375,25481,0,1328,166,664,1992
62,83,83,498,83,0,0,249,83,0,0,0,0,415,83,83,332,0,0,747,0,0,0,0,0,249
36,1494,1743,1328,1909,664,913,2075,747,0,0,11122,0,4233,0,913,1992,996,0,6474,4648,0,166,0,1577,830
56,581,664,249,1411,0,332,2324,83,0,0,2490,0,1328,0,83,1909,166,0,5146,14857,0,332,0,747,166
31,2988,1826,3735,5478,664,913,5478,996,0,0,8300,0,2988,498,7802,6640,1992,0,20501,13529,332,2988,581,4980,1992
22,5395,3901,4067,9462,664,2075,3320,6889,0,0,20999,0,7470,415,9379,16849,5893,0,29465,29299,83,3320,996,8217,5727
35,1245,2241,3569,2905,581,1577,2490,498,0,0,9047,83,498,249,4399,4731,1660,0,13861,11537,0,581,498,1328,1245
26,1743,1826,3569,3901,166,1245,2075,1826,0,0,11786,0,1743,415,2075,4233,1245,83,19671,11039,83,1162,249,4150,2241
53,332,1909,3403,1743,498,249,2988,664,0,0,3569,0,1577,332,3154,3818,332,0,12284,2573,0,913,83,3652,830
4,5727,4233,3320,11039,1162,3735,4731,3071,0,0,31125,83,3984,3818,5561,11454,5146,0,29465,46314,83,2573,996,6723,3486
16,3320,1909,2158,5146,498,2407,2241,1494,0,0,9130,0,2075,332,2739,5893,2075,0,14193,18758,83,1660,166,3735,2158
6,3569,8300,1992,4980,1079,7221,1328,1162,0,0,38595,0,3486,664,2241,4980,2739,0,6723,10956,83,1328,166,2905,1743
15,332,83,1577,664,83,83,166,83,0,0,996,0,581,5561,664,664,0,0,747,415,581,0,0,830,332
25,11205,5644,3403,12118,1411,6225,3403,6059,0,0,30295,0,6308,913,11205,14193,7885,0,31042,70550,0,6142,1660,8549,6557
41,1328,2407,3154,3901,830,747,2241,830,0,0,3818,0,664,498,3984,5727,498,0,12367,7387,830,913,249,1743,1743
52,664,166,3154,1245,0,166,1079,249,0,0,996,0,83,83,1245,1494,249,0,2739,1494,581,332,166,332,1079
49,1328,1743,2822,3735,83,664,1079,913,0,0,3818,0,1079,498,4731,2490,1494,0,9628,10126,166,1494,0,249,1079
